"data","count"
"AE","66128"
"-m","66090"
"! ","65989"
"Od","65794"
"x-","65462"
"/p","65304"
"s'","65262"
"/C","65127"
"(O","65048"
".j","65014"
".g","64965"
"YL","64824"
"°5","64677"
"Ep","64301"
"If","64229"
"0p","64127"
"YU","63948"
"1s","63946"
"z,","63829"
"BB","63575"
"GP","63505"
"SN","63469"
"Om","63060"
"UD","62997"
"O'","62897"
"DT","62522"
"$2","62514"
"hb","62464"
"3°","62263"
"sq","62178"
"JR","62095"
"6)","61987"
"RF","61851"
"gf","61747"
"k-","61726"
"sg","61323"
"VR","61208"
"l/","61118"
".J","60868"
"KB","60816"
":/","60722"
"(T","60718"
" >","60698"
"°0","60689"
"(E","60206"
"Y-","60203"
"-G","60126"
"f-","59987"
"u'","59804"
"AX","59715"
"TD","59514"
"1;","59496"
"kg","59091"
"YR","58895"
"iP","58879"
"iy","58856"
"p:","58808"
"Zo","58798"
"Ur","58657"
"VO","58232"
"n;","58059"
"WD","58028"
".""","57828"
"DH","57677"
"RV","57670"
"G-","57653"
"d/","57526"
"(H","57501"
"°1","57475"
"Kl","57409"
"(b","57378"
"WV","57368"
"(7","57277"
"x,","57025"
"I)","56968"
"0'","56668"
"Wy","56473"
"Eq","56383"
"U-","56377"
"zy","56287"
"GM","56248"
".s","56136"
"IK","56106"
"/M","56091"
"rq","56017"
"WR","55959"
"O-","55881"
"mc","55746"
"VT","55702"
"DM","55677"
"NZ","55665"
"MF","55608"
"GC","55580"
"2M","55553"
"A0","55190"
"l'","55027"
"uj","54962"
"PF","54918"
"D)","54832"
".m","54822"
"ZE","54804"
"6M","54739"
"2n","54679"
"NR","54642"
"(m","54382"
"2""","54233"
"S)","54190"
"(d","54177"
"(5","54099"
"ZA","54077"
"#2","54073"
"B-","53930"
"wd","53876"
"kw","53492"
"0t","53428"
"FM","53321"
"7)","53242"
"LF","53181"
"WH","53051"
"Ul","52991"
"t2","52679"
"g/","52565"
"S;","52497"
"m/","52419"
"??","52359"
"mr","52299"
"_0","51925"
"pb","51780"
"V.","51738"
"NX","51674"
"DP","51383"
"2'","51366"
